Novel Title,Novel year of publication,Author,Author Birth,Author Death,Period,Count,Z Score,Corpus ID,Gutenberg ID,Novel,Notes
The Reef,1912,"Wharton, Edith",1862,1937,1900-1999,39,0.602337,wharton_the-reef_1912,283,TRUE,
Sartoris,1929,"Faulkner, William",1897,1962,1900-1999,38,0.580685,faulkner_sartoris_1929,,TRUE,
The Spy,1821,"Cooper, James Fenimore",1789,1851,1800-1899,49,0.578914,cooper_the-spy_1821,9845,TRUE,
The Financier,1912,"Dreiser, Theodore",1871,1945,1900-1999,37,0.559033,dreiser_the-financier_1912,1840,TRUE,
Mosquitoes,1927,"Faulkner, William",1897,1962,1900-1999,37,0.559033,faulkner_mosquitoes_1927,,TRUE,
Gentlemen Prefer Blondes,1925,"Loos, Anita",1888,1981,1900-1999,37,0.559033,loos_gentlemen-prefer-blondes_1925,,TRUE,Epistolary novel
The Quest of the Silver Fleece,1911,"Du Bois, W. E. B.",1868,1963,1900-1999,36,0.537382,dubois_the-quest-of-the-silver-fleece_1911,,TRUE,
Imperium in Imperio,1899,"Griggs, Sutton E.",1872,1933,1800-1899,45,0.516517,griggs_imperium-in-imperio_1899,15454,TRUE,
The Rise of David Levinsky,1917,"Cahan, Abraham",1860,1951,1900-1999,35,0.51573,cahan_the-rise-of-david-levinsky_1917,2803,TRUE,
Morgesons,1862,"Stoddard, Elizabeth Drew",1823,1902,1800-1899,44,0.500918,stoddard_morgesons_1862,12347,TRUE,
Who Would Have Thought It?,1872,"Ruiz de Burton, María Amparo",1832,1895,1800-1899,43,0.485319,ruizdeburton_who-would-have-thought-it_1872,,TRUE,
Ryder,1928,"Barnes, Djuna",1892,1982,1900-1999,33,0.472427,barnes_ryder_1928,,TRUE,Experimental novel
Giants in the Earth,1927,"Rølvaag, Ole Edvart",1876,1931,1900-1999,33,0.472427,rlvaag_giants-in-the-earth_1927,75491,TRUE,
Ben-Hur,1880,"Wallace, Lew",1827,1905,1800-1899,41,0.454121,wallace_benhur_1880,2145,TRUE,
The Sport of the Gods,1902,"Dunbar, Paul Laurence",1872,1906,1900-1999,32,0.450775,dunbar_the-sport-of-the-gods_1902,17854,TRUE,
The Birth of a Nation,1915,"Griffith, D. W.",1875,1948,1900-1999,32,0.450775,griffith_the-birth-of-a-nation_1915,,FALSE,"Film; D.W. Griffith was a director, not a novelist"
The Iron Heel,1907,"London, Jack",1876,1916,1900-1999,32,0.450775,london_the-iron-heel_1907,1164,TRUE,
Cane,1923,"Toomer, Jean",1894,1967,1900-1999,32,0.450775,toomer_cane_1923,60093,TRUE,"Genre hybrid: short story cycle, prose poems, and a play"
The Deerslayer,1841,"Cooper, James Fenimore",1789,1851,1800-1899,40,0.438522,cooper_the-deerslayer_1841,3285,TRUE,
"The Life and Adventures of Joaquin Murieta, the Celebrated California Bandit",1854,"Ridge, John Rollin",1827,1867,1800-1899,40,0.438522,ridge_the-life-and-adventures-of_1854,,TRUE,
