Novel Title,Novel year of publication,Author,Author Birth,Author Death,Period,Count,Z Score,Corpus ID,Gutenberg ID
Caballero: A Historical Novel,1930,"Raleigh, Eve",1903,1978,1900-1999,25,0.299214,raleigh_caballero-a-historical-novel_1930,
The Time of Man,1926,"Roberts, Elizabeth Madox",1886,1941,1900-1999,25,0.299214,roberts_the-time-of-man_1926,
The Emigrants,1793,"Imlay, Gilbert",1754,1828,1700-1799,16,0.296087,imlay_the-emigrants_1793,
Democracy,1880,"Adams, Henry Brooks",1838,1918,1800-1899,30,0.28253,adams_democracy_1880,2815
Yekl,1896,"Cahan, Abraham",1860,1951,1800-1899,30,0.28253,cahan_yekl_1896,36715
Wynema,1891,"Callahan, S. Alice",1868,1894,1800-1899,30,0.28253,callahan_wynema_1891,
The Hidden Hand,1859,"Southworth, E. D. E. N.",1819,1899,1800-1899,30,0.28253,southworth_the-hidden-hand_1859,
The Garies and Their Friends,1857,"Webb, Frank J.",1847,,1800-1899,30,0.28253,webb_the-garies-and-their-friends_1857,11214
Not without Laughter,1930,"Hughes, Langston",1902,1967,1900-1999,24,0.277562,hughes_not-without-laughter_1930,
The Star Rover,1915,"London, Jack",1876,1916,1900-1999,24,0.277562,london_the-star-rover_1915,
Little Men,1871,"Alcott, Louisa May",1832,1888,1800-1899,29,0.266931,alcott_little-men_1871,2788
Three Soldiers,1921,"Dos Passos, John",1896,1970,1900-1999,23,0.25591,dospassos_three-soldiers_1921,6362
Weeds,1923,"Kelley, Edith Summers",1884,1956,1900-1999,23,0.25591,kelley_weeds_1923,61201
Notes on the State of Virginia,1787,"Jefferson, Thomas",1743,1826,1700-1799,15,0.253383,jefferson_notes-on-the-state-of-virginia_1787,
Daisy Miller,1879,"James, Henry, Jr.",1843,1916,1800-1899,28,0.251332,james_daisy-miller_1879,208
The Gilded Age,1873,"Warner, Charles Dudley",1829,1900,1800-1899,28,0.251332,warner_the-gilded-age_1873,3178
The Education of Henry Adams,1907,"Adams, Henry Brooks",1838,1918,1900-1999,22,0.234259,adams_the-education-of-henry-adams_1907,2044
The Sense of the Past,1917,"James, Henry, Jr.",1843,1916,1900-1999,22,0.234259,james_the-sense-of-the-past_1917,63369
The Book of Khalid,1911,"Rihani, Ameen Fares",1876,1940,1900-1999,22,0.234259,rihani_the-book-of-khalid_1911,29257
The Blacker the Berry,1929,"Thurman, Wallace",1902,1934,1900-1999,22,0.234259,thurman_the-blacker-the-berry_1929,
Twilight Sleep,1927,"Wharton, Edith",1862,1937,1900-1999,22,0.234259,wharton_twilight-sleep_1927,70844
Female Quixotism,1801,"Tenney, Tabitha",1762,1837,1800-1899,26,0.220134,tenney_female-quixotism_1801,
There Is Confusion,1924,"Fauset, Jessie Redmon",1886,1961,1900-1999,21,0.212607,fauset_there-is-confusion_1924,
Three Lives,1909,"Stein, Gertrude",1874,1946,1900-1999,21,0.212607,stein_three-lives_1909,15408
Nigger Heaven,1926,"Van Vechten, Carl",1880,1964,1900-1999,21,0.212607,vanvechten_nigger-heaven_1926,
Ragged Dick,1867,"Alger, Horatio, Jr.",1832,1899,1800-1899,25,0.204535,alger_ragged-dick_1867,5348
The Conjure Woman,1899,"Chesnutt, Charles W.",1858,1932,1800-1899,25,0.204535,chesnutt_the-conjure-woman_1899,11666
Those Extraordinary Twins,1894,"Twain, Mark",1835,1910,1800-1899,25,0.204535,twain_those-extraordinary-twins_1894,3185
Alexander's Bridge,1912,"Cather, Willa",1873,1947,1900-1999,20,0.190956,cather_alexanders-bridge_1912,94
In Our Time,1924,"Hemingway, Ernest",1899,1961,1900-1999,20,0.190956,hemingway_in-our-time_1924,61085
The Pilot,1823,"Cooper, James Fenimore",1789,1851,1800-1899,24,0.188936,cooper_the-pilot_1823,7974
Deephaven,1877,"Jewett, Sarah Orne",1849,1909,1800-1899,24,0.188936,jewett_deephaven_1877,
Secret History,1808,"Sansay, Leonora",1781,,1800-1899,24,0.188936,sansay_secret-history_1808,59533
The Silent Partner,1871,"Ward, Elizabeth Stuart Phelps",1844,1911,1800-1899,24,0.188936,ward_the-silent-partner_1871,31735
Miss Ravenel's Conversion from Secession to Loyalty,1867,"De Forest, John William",1826,1906,1800-1899,23,0.173337,deforest_miss-ravenels-conversion-from_1867,41355
My Bondage and My Freedom,1855,"Douglass, Frederick",1817,1895,1800-1899,23,0.173337,douglass_my-bondage-and-my-freedom_1855,202
Minnie's Sacrifice,1869,"Harper, Frances Ellen Watkins",1825,1911,1800-1899,23,0.173337,harper_minnies-sacrifice_1869,11053
The Country of the Pointed Firs,1896,"Jewett, Sarah Orne",1849,1909,1800-1899,23,0.173337,jewett_the-country-of-the-pointed_1896,19685
Clarel,1876,"Melville, Herman",1819,1891,1800-1899,23,0.173337,melville_clarel_1876,
Las aventuras de Don Chipote,1928,"Venegas, Daniel",,,1900-1999,19,0.169304,venegas_las-aventuras-de-don-chipote_1928,
A Son at the Front,1923,"Wharton, Edith",1862,1937,1900-1999,19,0.169304,wharton_a-son-at-the-front_1923,
Salome of the Tenements,1922,"Yezierska, Anzia",1885,1970,1900-1999,19,0.169304,yezierska_salome-of-the-tenements_1922,
A Fool's Errand,1879,"Tourgée, Albion W.",1838,1905,1800-1899,22,0.157738,tourgee_a-fools-errand_1879,
The 'Genius',1915,"Dreiser, Theodore",1871,1945,1900-1999,18,0.147652,dreiser_the-genius_1915,
Daughter of Earth,1929,"Smedley, Agnes",1890,1950,1900-1999,18,0.147652,smedley_daughter-of-earth_1929,
The Children,1928,"Wharton, Edith",1862,1937,1900-1999,18,0.147652,wharton_the-children_1928,76417
